id,record_type,source,requirement,priority,component,owner,test,evidence,evidence_locator,gate,delivery_status,source_status,next_action
"REQ-011","PROGRAM_REQUIREMENT","Contrato 5","Congelar Anexo A antes del primer contacto","P0","Suppression","Revenue Operations","Hash y reconciliation","Anexo A no suministrado","/Users/Jorge/dev/ennco-revenue-platform/docs/evidence/M0-checklist-reconciliation.md:37-38","M0","BLOCKED","BLOCKED_EXTERNAL","Recibir normalizar hashear conciliar y probar fail-closed"
"REQ-012","PROGRAM_REQUIREMENT","Contrato 5","Registrar primer contacto y atribución por 12 meses","P0","Attribution","Product Engineering","Attribution tests","Contrato fuente local","/Users/Jorge/dev/teckel-discovery/sales/ennco/Contrato-ENNCO-Teckel.pdf#pages=7-8","M4","NOT_STARTED","VERIFIED_SOURCE","Implementar evento append-only con evidence chain"
"REQ-013","PROGRAM_REQUIREMENT","Contrato 6","Aplicar definición estricta de lead","P0","Qualification","Revenue Operations","Qualification matrix","Contrato fuente local","/Users/Jorge/dev/teckel-discovery/sales/ennco/Contrato-ENNCO-Teckel.pdf#page=9","M4","NOT_STARTED","VERIFIED_SOURCE","No contar ambigüedad ni actividad como resultado"
"REQ-014","PROGRAM_REQUIREMENT","Contrato 7","Validar insumos y accesos antes de iniciar reloj","P0","Governance","Jorge y ENNCO","Readiness checklist","Condiciones acumulativas documentadas","/Users/Jorge/dev/teckel-discovery/sales/ennco/Contrato-ENNCO-Teckel.pdf#pages=4,11","M0","BLOCKED","PARTIAL","Cerrar copia ejecutada Anexo A pago y constancia de inicio"
"REQ-015","PROGRAM_REQUIREMENT","Contrato 9","Aplicar privacidad seguridad y baja inmediata","P0","Security","Product Engineering","ASVS y unsubscribe E2E","Audit allowlist, Storage privado, supresión, legal hold y borrado local pasan; baja con proveedor sigue pendiente","/Users/Jorge/dev/ennco-revenue-platform/supabase/tests/003_retention_deletion_gate.sql","M2","EVIDENCE_READY","VERIFIED_SOURCE","Probar baja y propagación de borrado con proveedor en staging aislado"
"REQ-016","PROGRAM_REQUIREMENT","Transcript Aug 3","Priorizar Guanajuato y Querétaro","P1","Research","Revenue Operations","Segment audit","Preferencia explícita en reunión","/Users/Jorge/.codex/attachments/3f761979-fdb2-4b2f-91e3-5711aa5d17e6/pasted-text.txt:50","M6","NOT_STARTED","VERIFIED_SOURCE","Aplicar como primera ola y mantener expansión posterior separada"
"REQ-017","PROGRAM_REQUIREMENT","Transcript Aug 3","Incluir CEO planta mantenimiento y compras","P1","Research","Revenue Operations","Role coverage","Roles comprador documentados","/Users/Jorge/.codex/attachments/a90e0a8c-1f46-4d68-94f6-c8df4390ae81/pasted-text.txt:128-131","M6","NOT_STARTED","VERIFIED_SOURCE","Exigir cobertura de roles por cuenta"
"REQ-018","PROGRAM_REQUIREMENT","Transcript Aug 3","Capacidad de dos proyectos industriales al mes","P1","Operations","ENNCO Operator","Capacity rule","Capacidad explícita","/Users/Jorge/.codex/attachments/a90e0a8c-1f46-4d68-94f6-c8df4390ae81/pasted-text.txt:226-231","M4","NOT_STARTED","VERIFIED_SOURCE","Codificar límite operativo y alerta de capacidad"
"REQ-019","PROGRAM_REQUIREMENT","Transcript Aug 5","Usar email como canal principal","P0","Outreach","Revenue Operations","Manifest check","Canal y secuencia documentados","/Users/Jorge/.codex/attachments/a90e0a8c-1f46-4d68-94f6-c8df4390ae81/pasted-text.txt:150-174","M6","NOT_STARTED","VERIFIED_SOURCE","Mantener WhatsApp fuera de outreach frío"
"REQ-020","PROGRAM_REQUIREMENT","Corrección Jorge","Firmar como Francisco Cuellar CEO","P0","Outreach","Francisco","Snapshot test","Corrección vinculante y firma suministrada","/Users/Jorge/dev/ennco-revenue-platform/docs/evidence/M0-checklist-reconciliation.md:31-33","M6","NOT_STARTED","VERIFIED_SOURCE","Usar identidad aprobada en drafts y no enviar sin manifest"
"REQ-021","PROGRAM_REQUIREMENT","Corrección Jorge","No automatizar garantías","P0","Assistant","Product Engineering","Refusal eval","Corrección vinculante","/Users/Jorge/dev/ennco-revenue-platform/docs/evidence/M0-checklist-reconciliation.md:34","M4","NOT_STARTED","VERIFIED_SOURCE","Rechazar y escalar garantías a Paco"
"REQ-022","PROGRAM_REQUIREMENT","Corrección Jorge","Usar casos anónimos","P1","Content","Product Engineering","Content scan","Cuatro casos de calibración anonimizados y escaneados","/Users/Jorge/dev/ennco-revenue-platform/data/prequote/calibration-cases.json","M3","EVIDENCE_READY","VERIFIED_SOURCE","Mantener nombres y archivos fuente fuera de la superficie pública"
"REQ-023","PROGRAM_REQUIREMENT","Corrección Jorge","Omitir MEST","P1","Scope","Jorge","Repository scan","Corrección vinculante","/Users/Jorge/dev/ennco-revenue-platform/docs/evidence/M0-checklist-reconciliation.md:35","M9","NOT_STARTED","DEFERRED","Mantener MEST fuera de código datos y documentación"
"REQ-024","PROGRAM_REQUIREMENT","Plan aprobado","Implementar Control Room durante primera semana","P0","Portal","Product Engineering","E2E roadmap","Plan maestro aprobado","/Users/Jorge/dev/ennco-revenue-platform/docs/00-program-charter.md:1-31","M1","IN_PROGRESS","VERIFIED_SOURCE","Cerrar Control Room sintético con evidencia"
"REQ-025","PROGRAM_REQUIREMENT","Plan aprobado","Implementar outbox retries DLQ y kill switch","P0","Reliability","Product Engineering","Failure tests","Plan maestro aprobado","/Users/Jorge/dev/ennco-revenue-platform/docs/05-nfr-slo.md:1-31","M1","IN_PROGRESS","VERIFIED_SOURCE","Probar fallas reintentos y cero efectos externos"
"REQ-026","PROGRAM_REQUIREMENT","Plan aprobado","Probar restore de base y archivos","P0","Continuity","Product Engineering","Restore drill","Restore lógico y objetos sintéticos pasan en destinos separados; PITR y RTO continúan desconocidos","/Users/Jorge/dev/ennco-revenue-platform/evidence/m2-restore/summary.json","M2","EVIDENCE_READY","VERIFIED_SOURCE","Repetir en staging administrado y medir RPO y RTO reales"
"REQ-027","PROGRAM_REQUIREMENT","Plan aprobado","No enviar hasta 35 días y canary PASS","P0","Release","Jorge y Francisco","Release gate","Gobierno de campaña","/Users/Jorge/dev/ennco-revenue-platform/docs/07-campaign-governance.md:1-32","M6","BLOCKED","VERIFIED_SOURCE","Mantener envío externo deshabilitado hasta todos los gates"
"CHK-A1","ARRANQUE_CHECKLIST","ARR a1","Acceso al panel del dominio y del hospedaje","P0","Access","ENNCO","Read-only access validation","El chat confirma que el acceso a Hostinger fue compartido; no se usó","/Users/Jorge/Downloads/WhatsApp Chat - Paco Orozco/_chat.txt:74-75","M0","IN_PROGRESS","VERIFIED_SOURCE","No pedirlo otra vez; antes de uso rotar secretos expuestos y validar acceso read-only"
"CHK-A2","ARRANQUE_CHECKLIST","ARR a2","Autorización para comprar dos o tres dominios de envío","P0","Procurement","Jorge y ENNCO","Written purchase approval","Hay conversación sobre dominios pero no autorización expresa de compra","/Users/Jorge/.codex/attachments/a90e0a8c-1f46-4d68-94f6-c8df4390ae81/pasted-text.txt:265-277","M0","BLOCKED","BLOCKED_EXTERNAL","Presentar BOM y candidatos; comprar sólo con aprobación explícita"
"CHK-A3","ARRANQUE_CHECKLIST","ARR a3","Acceso de administrador al correo corporativo","P0","Access","ENNCO","Admin-scope validation","Se compartió una cuenta corporativa pero el alcance administrador no está probado","/Users/Jorge/Downloads/WhatsApp Chat - Paco Orozco/_chat.txt:69-70","M0","IN_PROGRESS","PARTIAL","No pedir credenciales en chat; confirmar admin scope y rotación antes de Gmail/DNS"
"CHK-A4","ARRANQUE_CHECKLIST","ARR a4","Quién administra hoy cada cosa","P1","Governance","ENNCO","Ownership inventory","Chat identifica Hostinger para sitio y Google para correo pero no un responsable nominal por sistema","/Users/Jorge/Downloads/WhatsApp Chat - Paco Orozco/_chat.txt:72-75","M0","IN_PROGRESS","PARTIAL","Crear inventario de propietario y suplente sin frenar trabajo local"
"CHK-A5","ARRANQUE_CHECKLIST","ARR a5","Accesos a Search Console y a la analítica si existen","P1","Analytics","ENNCO","Access or absence record","No hay evidencia local de cuenta o inexistencia","/Users/Jorge/dev/teckel-discovery/sales/ennco/arranque.html:171","M0","IN_PROGRESS","UNKNOWN","Auditar sitio y cuentas disponibles; crear sólo con aprobación si no existen"
"CHK-A7","ARRANQUE_CHECKLIST","ARR a7","Confirmar si el dominio pasa por Cloudflare","P0","DNS","Product Engineering","DNS provider lookup","Paco afirma que el sitio sólo está en Hostinger y el correo en Google","/Users/Jorge/Downloads/WhatsApp Chat - Paco Orozco/_chat.txt:67-75","M0","IN_PROGRESS","VERIFIED_SOURCE","Verificar por DNS read-only antes de atribuir cualquier bloqueo a Cloudflare"
"CHK-A8","ARRANQUE_CHECKLIST","ARR a8","Decidir dominio principal o dominio separado para outreach","P0","Deliverability","Jorge y Francisco","Campaign manifest assertion","La decisión de diseño aprobada es dominio separado; compra y DNS siguen bloqueados","/Users/Jorge/dev/ennco-revenue-platform/docs/evidence/M0-checklist-reconciliation.md:42-44","M0","IN_PROGRESS","VERIFIED_SOURCE","Fijar dominio separado en manifest y mantener compra como gate externo"
"CHK-A6","ARRANQUE_CHECKLIST","ARR a6","Factura actual del correo corporativo","P2","Cost","ENNCO","Invoice reconciliation","Transcript registra aproximadamente 6000 MXN mensuales y 600 por buzón pero no se suministró factura","/Users/Jorge/.codex/attachments/a90e0a8c-1f46-4d68-94f6-c8df4390ae81/pasted-text.txt:265-272","M0","IN_PROGRESS","PARTIAL","No volver a preguntar el monto; solicitar factura sólo si se aprueba análisis de ahorro"
"CHK-B1","ARRANQUE_CHECKLIST","ARR b1","Precio instalado por kWp por tramo de tamaño","P0","Prequote","Paco","Backtest by band","Bandas candidatas derivadas de 20 históricos y cuatro propuestas; 4 de 4 casos quedan dentro del rango","/Users/Jorge/dev/ennco-revenue-platform/docs/evidence/M3-prequote-model-verification.json","M3","EVIDENCE_READY","PARTIAL","Paco valida versión antes de cambiar DRAFT_REVIEW_REQUIRED"
"CHK-B2","ARRANQUE_CHECKLIST","ARR b2","Horas sol pico usadas en memorias de cálculo","P0","Prequote","Paco","Model source validation","No se localizaron horas sol pico explícitas en transcripts propuestas o histórico","/Users/Jorge/dev/ennco-revenue-platform/docs/evidence/M0-checklist-reconciliation.md:53-54","M3","IN_PROGRESS","UNKNOWN","Mantener modelo draft-only y obtener validación puntual de Paco"
"CHK-B3","ARRANQUE_CHECKLIST","ARR b3","Factor de rendimiento del sistema","P0","Prequote","Paco","Model source validation","Los documentos muestran coberturas y generación pero no un performance ratio explícito y canónico","/Users/Jorge/dev/ennco-revenue-platform/docs/evidence/M0-checklist-reconciliation.md:53-54","M3","IN_PROGRESS","UNKNOWN","No inferirlo desde resultados; Paco valida la variable versionada"
"CHK-B4","ARRANQUE_CHECKLIST","ARR b4","Marca y potencia del módulo por default","P0","Prequote","Paco","Model version comparison","Modelo usa rango 620 a 650 W y fuente oficial LONGi; no fija un SKU contractual","/Users/Jorge/dev/ennco-revenue-platform/data/prequote/model-draft-v2.json","M3","EVIDENCE_READY","PARTIAL","Paco elige catálogo vigente antes de aprobación"
"CHK-B5","ARRANQUE_CHECKLIST","ARR b5","Metros cuadrados de techo por kWp","P1","Prequote","Paco","Boundary sweep","Banda 5.2 a 7.3 m2/kWp parte de dimensión física oficial y margen preliminar explícito","/Users/Jorge/dev/ennco-revenue-platform/data/prequote/model-draft-v2.json","M3","EVIDENCE_READY","PARTIAL","Validar estructura acceso y sembrado con Paco; nunca presentar como ingeniería final"
"CHK-B6","ARRANQUE_CHECKLIST","ARR b6","Porcentaje de consumo recomendado a cubrir","P1","Prequote","Paco","Proposal comparison","La interfaz permite 30 a 100 por ciento y conserva los ejemplos fuente sin convertirlos en regla universal","/Users/Jorge/dev/ennco-revenue-platform/src/lib/domain/prequote.ts","M3","EVIDENCE_READY","PARTIAL","Paco valida default y regla por segmento antes de aprobación"
"CHK-B7","ARRANQUE_CHECKLIST","ARR b7","Dos o tres recibos de CFE industriales anonimizados","P1","Prequote","Paco","Receipt parser fixtures","Se suministraron dos recibos industriales con tarifas GDMTH y GDMTO","/Users/Jorge/Downloads/565101015456 (1).pdf#pages=1-2; /Users/Jorge/Downloads/063161201393 (1).pdf#pages=1-2","M3","IN_PROGRESS","VERIFIED_SOURCE","Crear fixtures anonimizados; no copiar PII ni documentos crudos al repositorio"
"CHK-B8","ARRANQUE_CHECKLIST","ARR b8","Precio de pólizas de mantenimiento por tramo","P0","Prequote","Paco","Maintenance pricing validation","Las fuentes describen pólizas y mantenimientos pero no precio por tramo","/Users/Jorge/.codex/attachments/a90e0a8c-1f46-4d68-94f6-c8df4390ae81/pasted-text.txt:31-35; /Users/Jorge/Downloads/2.0 PROPUESTA Vallejo.pdf#pages=5-6","M3","IN_PROGRESS","UNKNOWN","Excluir precio automático hasta que Paco valide una tabla"
"CHK-C1","ARRANQUE_CHECKLIST","ARR c1","Relación de clientes y prospectos actuales Anexo A","P0","Suppression","ENNCO","Hash and reconciliation","Jorge indicó que llega el 12 de agosto; no existe archivo local","/Users/Jorge/dev/ennco-revenue-platform/docs/evidence/M0-checklist-reconciliation.md:37","M0","BLOCKED","BLOCKED_EXTERNAL","Recibir hashear normalizar conciliar y ejecutar tests antes de cualquier contacto"
"CHK-C2","ARRANQUE_CHECKLIST","ARR c2","Proyectos cerrados de los últimos doce meses","P1","Commercial Data","Revenue Operations","Import reconciliation","Histórico entregado con 20 filas y fechas montos zonas capacidades y tipo; faltan dimensiones como canal y giro confirmado","/Users/Jorge/Downloads/clientes....xlsx#Hoja1!D7:I28","M2","IN_PROGRESS","PARTIAL","Usar histórico ya enviado; completar sólo dimensiones faltantes mediante evidencia existente o validación posterior"
"CHK-C3","ARRANQUE_CHECKLIST","ARR c3","Cotizaciones enviadas que no cerraron y razón","P1","Commercial Data","Revenue Operations","Loss reason audit","Hay propuestas suministradas y transcript identifica precio y mala transmisión de información; no hay ledger de cotizaciones perdidas","/Users/Jorge/.codex/attachments/a90e0a8c-1f46-4d68-94f6-c8df4390ae81/pasted-text.txt:196-205","M2","IN_PROGRESS","PARTIAL","Construir taxonomía desde transcript y documentos; no atribuir una propuesta como perdida sin evidencia"
"CHK-C4","ARRANQUE_CHECKLIST","ARR c4","Facturación mensual de los últimos doce meses","P2","Commercial Data","ENNCO","Monthly baseline reconciliation","Transcript aporta 1 a 1.5 millones mensuales y 8 millones vendidos; histórico permite una serie parcial pero no prueba facturación total","/Users/Jorge/.codex/attachments/a90e0a8c-1f46-4d68-94f6-c8df4390ae81/pasted-text.txt:110-121; /Users/Jorge/Downloads/clientes....xlsx#Hoja1!D7:I28","M2","IN_PROGRESS","PARTIAL","Mantener baseline como parcial y no presentarlo como facturación total"
"CHK-C5","ARRANQUE_CHECKLIST","ARR c5","Ciclo de venta real medido","P1","Commercial Data","Revenue Operations","Cycle examples","Transcript establece variación de un mes a un año y un ejemplo diciembre a mayo","/Users/Jorge/.codex/attachments/a90e0a8c-1f46-4d68-94f6-c8df4390ae81/pasted-text.txt:102-109,174-175","M2","IN_PROGRESS","VERIFIED_SOURCE","Codificar escenarios y medir T0 real sin convertir rango en forecast"
"CHK-C6","ARRANQUE_CHECKLIST","ARR c6","Estado actual del CRM","P1","Operations","Product Engineering","CRM inventory","Monday fue configurado sin éxito y cancelado; Oscar llevaría el proceso E2E","/Users/Jorge/.codex/attachments/a90e0a8c-1f46-4d68-94f6-c8df4390ae81/pasted-text.txt:208-213","M2","IN_PROGRESS","VERIFIED_SOURCE","No pedirlo otra vez; construir portal aislado y planear import sólo si aparece export usable"
"CHK-D1","ARRANQUE_CHECKLIST","ARR d1","Directorio editable de 27 empresas","P0","Research","Revenue Operations","Import count and quarantine","Archivo editable presente con 27 filas; cinco ubicaciones y un par duplicado requieren resolución","/Users/Jorge/Downloads/Directorio_Empresas_Corredor_Leon_Queretaro.xlsx#Directorio corredor!A1:H28","M2","IN_PROGRESS","VERIFIED_SOURCE","Usar como semilla no contactable y resolver cuarentena antes del piloto"
"CHK-D2","ARRANQUE_CHECKLIST","ARR d2","Giro industrial del mejor cliente","P1","ICP","Paco","Segment evidence","Transcript favorece industria y transnacionales y menciona comunidades coreana brasileña y japonesa; no demuestra el mejor giro por resultado","/Users/Jorge/.codex/attachments/a90e0a8c-1f46-4d68-94f6-c8df4390ae81/pasted-text.txt:155-165","M2","IN_PROGRESS","PARTIAL","Calcular distribución del histórico sin inventar giro y validar después de T0"
"CHK-D3","ARRANQUE_CHECKLIST","ARR d3","Consumo mínimo que hace viable el proyecto","P0","ICP","Paco","Qualification boundary","Umbrales contractuales implementados; ninguna precotización cuenta automáticamente como lead","/Users/Jorge/dev/ennco-revenue-platform/src/lib/domain/prequote.ts","M3","EVIDENCE_READY","VERIFIED_SOURCE","Validar evidencia humana antes de cualquier cambio a lead contractual"
"CHK-D4","ARRANQUE_CHECKLIST","ARR d4","Proyecto que no se quiere tomar","P1","ICP","Paco","Exclusion matrix","Fuentes priorizan industrial y transnacional y muestran alcance inicial; no definen todas las exclusiones de zona techo crédito o giro","/Users/Jorge/.codex/attachments/a90e0a8c-1f46-4d68-94f6-c8df4390ae81/pasted-text.txt:71-79,155-165","M2","IN_PROGRESS","PARTIAL","Aplicar exclusiones seguras del contrato y poner el resto en revisión humana"
"CHK-D5","ARRANQUE_CHECKLIST","ARR d5","Señales de que una planta está lista","P1","ICP","Revenue Operations","Signal provenance","Plan de ventas lista recibo alto conocimiento solar referido y decisión rápida; transcript añade interés por ahorro y actualización eléctrica","/Users/Jorge/Downloads/Plan_Ventas_ENNCO_MarDic2026.pptx#slide=5; /Users/Jorge/.codex/attachments/a90e0a8c-1f46-4d68-94f6-c8df4390ae81/pasted-text.txt:130-143","M2","IN_PROGRESS","VERIFIED_SOURCE","Convertir en señales observables con fuente y confianza; no inferir intención"
"CHK-E1","ARRANQUE_CHECKLIST","ARR e1","Correos previos que hayan funcionado","P1","Voice","Francisco","Source set existence","Jorge confirmó que no existen y ordenó escribir en voz personal CEO-to-CEO","/Users/Jorge/dev/ennco-revenue-platform/docs/evidence/M0-checklist-reconciliation.md:33","M5","IN_PROGRESS","DEFERRED","No pedirlos; redactar secuencia nueva y someter una sola aprobación externa"
"CHK-E2","ARRANQUE_CHECKLIST","ARR e2","Tres objeciones comunes y respuesta","P1","Messaging","Paco","Objection matrix","Transcript identifica precio y pérdida de contexto; plan de ventas contiene caro pensarlo proveedor barato y momento","/Users/Jorge/.codex/attachments/a90e0a8c-1f46-4d68-94f6-c8df4390ae81/pasted-text.txt:196-205; /Users/Jorge/Downloads/Plan_Ventas_ENNCO_MarDic2026.pptx#slide=13","M5","IN_PROGRESS","VERIFIED_SOURCE","Redactar respuestas CEO-to-CEO sin garantías ni claims no verificados"
"CHK-E3","ARRANQUE_CHECKLIST","ARR e3","Dos o tres casos de éxito con números","P1","Content","Product Engineering","Case evidence check","Hay histórico propuestas y entrega de obra para construir casos; ahorro final y permiso de publicación no están validados","/Users/Jorge/Downloads/clientes....xlsx#Hoja1!D7:I28; /Users/Jorge/Downloads/WhatsApp Chat - Plataforma ennco x teckel/00003025-REPORTE DE INSTALACIÓN VERIFICENTRO VALLEJO AZ 20 (2).pdf#pages=1-15","M3","IN_PROGRESS","PARTIAL","Crear versiones anónimas y separar datos instalados de ahorros proyectados"
"CHK-E4","ARRANQUE_CHECKLIST","ARR e4","Qué no se debe decir nunca","P0","Safety","Product Engineering","Content policy eval","Jorge prohíbe automatizar garantías y el plan excluye precio final descuentos y fechas comprometidas","/Users/Jorge/dev/ennco-revenue-platform/docs/evidence/M0-checklist-reconciliation.md:34,59","M4","IN_PROGRESS","VERIFIED_SOURCE","Convertir límites en reglas duras y evals"
"CHK-E6","ARRANQUE_CHECKLIST","ARR e6","Quién firma los correos","P0","Voice","Francisco","Identity snapshot","Jorge confirmó Francisco Cuellar; business card y propuestas muestran CEO correo y teléfono","/Users/Jorge/dev/ennco-revenue-platform/docs/evidence/M0-checklist-reconciliation.md:32; /Users/Jorge/Downloads/2.0 PROPUESTA Vallejo.pdf#page=11","M5","IN_PROGRESS","VERIFIED_SOURCE","Usar Francisco en drafts; buzón y envío siguen sujetos a aprobación"
"CHK-E7","ARRANQUE_CHECKLIST","ARR e7","Agendar aprobación de los ocho correos","P0","Governance","Jorge y Francisco","Approval record","Contrato exige visto bueno único al inicio de Fase 2; no hay sesión agendada ni aprobación","/Users/Jorge/dev/teckel-discovery/sales/ennco/Contrato-ENNCO-Teckel.pdf#page=11","M5","BLOCKED","BLOCKED_EXTERNAL","Preparar paquete completo y pedir una aprobación cuando esté listo"
"CHK-E5","ARRANQUE_CHECKLIST","ARR e5","Cómo se presenta ENNCO en primera llamada","P1","Voice","Francisco","Message extraction","Transcript define ENNCO como consultoría de ingeniería eléctrica industrial mantenimiento termografía transformadores solar y almacenamiento","/Users/Jorge/.codex/attachments/a90e0a8c-1f46-4d68-94f6-c8df4390ae81/pasted-text.txt:31-35,70-73","M5","IN_PROGRESS","VERIFIED_SOURCE","Sintetizar una frase CEO-to-CEO y validar junto con la secuencia"
"CHK-F1","ARRANQUE_CHECKLIST","ARR f1","Preguntas técnicas frecuentes y respuestas","P1","Assistant","Paco","Knowledge extraction coverage","Transcripts y expedientes contienen preguntas por recibo capacidad instalación ahorro y proceso pero no un FAQ canónico completo","/Users/Jorge/.codex/attachments/a90e0a8c-1f46-4d68-94f6-c8df4390ae81/pasted-text.txt:130-149; /Users/Jorge/.codex/attachments/3f761979-fdb2-4b2f-91e3-5711aa5d17e6/pasted-text.txt:8-27","M4","IN_PROGRESS","PARTIAL","Minar documentos para FAQ draft y hacer UAT con Paco sin volver a pedir información abierta"
"CHK-F2","ARRANQUE_CHECKLIST","ARR f2","Garantías exactas que se ofrecen","P0","Assistant","Paco","Refusal eval","Jorge ordenó no automatizarlas y los documentos presentan periodos incompatibles","/Users/Jorge/dev/ennco-revenue-platform/docs/evidence/M0-checklist-reconciliation.md:34; /Users/Jorge/Downloads/2.0 PROPUESTA Vallejo.pdf#page=8; /Users/Jorge/Downloads/WhatsApp Chat - Plataforma ennco x teckel/00003025-REPORTE DE INSTALACIÓN VERIFICENTRO VALLEJO AZ 20 (2).pdf#pages=10-15","M4","IN_PROGRESS","DEFERRED","Assistant y outreach rechazan garantía y escalan a Paco"
"CHK-F3","ARRANQUE_CHECKLIST","ARR f3","Certificaciones acreditaciones y marcas distribuidas","P1","Content","Paco","Credential evidence audit","Propuestas y expediente prueban marcas y componentes; no prueban todas las acreditaciones corporativas vigentes","/Users/Jorge/Downloads/2.0 PROPUESTA Vallejo.pdf#pages=5-6; /Users/Jorge/Downloads/WhatsApp Chat - Plataforma ennco x teckel/00003025-REPORTE DE INSTALACIÓN VERIFICENTRO VALLEJO AZ 20 (2).pdf#pages=5-6","M3","IN_PROGRESS","PARTIAL","Publicar sólo marcas y certificaciones respaldadas por documento vigente"
"CHK-F4","ARRANQUE_CHECKLIST","ARR f4","Qué no debe contestar el asistente","P0","Assistant","Product Engineering","Refusal and injection eval","Límite vinculante: garantías precio final descuentos fechas y compromisos comerciales","/Users/Jorge/dev/ennco-revenue-platform/docs/evidence/M0-checklist-reconciliation.md:34,59","M4","IN_PROGRESS","VERIFIED_SOURCE","Implementar refusal determinista handoff y evals x2"
"CHK-G1","ARRANQUE_CHECKLIST","ARR g1","Logotipo vectorial","P1","Brand","Product Engineering","Asset format validation","Archivo Ennco.ai suministrado","/Users/Jorge/Downloads/Material Gráfico ENNCO/Ennco.ai","M3","IN_PROGRESS","VERIFIED_SOURCE","Preservar original y generar derivados web auditables"
"CHK-G2","ARRANQUE_CHECKLIST","ARR g2","Fotografías de obra en alta resolución","P1","Brand","Product Engineering","Asset inventory","Dos carpetas contienen fotografías y video de instalaciones y obra","/Users/Jorge/dev/ennco-revenue-platform/docs/evidence/M0-checklist-reconciliation.md:26,48-49","M3","IN_PROGRESS","VERIFIED_SOURCE","No pedirlas otra vez; seleccionar y optimizar copias preservando originales"
